frame,timestamp,hs_crop_source,mp_crop_source,composite_fear,hs_dominant,mp_ctx_tag,mp_velocity_tag,agreement_tag,veto_tag,hs_fear,hs_arousal,hs_dominant_score,mp_tension,mp_tension_v3,mp_startle_score,smoothed_composite,onset_slope,event_status,face_bbox,mp_valence,mp_smile
96,3.200,haar,full_frame,0.0730,Neutral,---,---,AMBIGUOUS,---,0.1866,0.0598,0.3096,0.0928,0.1856,0.5576,0.1073,0.003562,IDLE,"44,58,136,159",-0.1843,0.0100
97,3.233,haar,full_frame,0.0541,Fear,SAD,---,AMBIGUOUS,---,0.3428,0.0901,0.3428,0.0000,0.1111,0.3584,0.1104,0.003490,IDLE,"42,58,136,161",-0.3276,0.0030
98,3.267,haar,full_frame,0.1873,Happiness,---,---,AMBIGUOUS,---,0.0399,0.2327,0.8121,0.1192,0.1926,0.5553,0.1117,0.003162,IDLE,"39,59,133,164",-0.0811,0.0257
99,3.300,mp,full_frame,0.1678,Happiness,---,---,AMBIGUOUS,---,0.0706,0.2111,0.8115,0.1029,0.1883,0.5827,0.1129,0.002802,IDLE,"36,60,133,167",-0.1191,0.0074
100,3.333,haar,full_frame,0.1812,Happiness,---,---,AMBIGUOUS,---,0.0443,0.2201,0.7297,0.1228,0.1937,0.8502,0.1144,0.002474,IDLE,"33,61,132,169",-0.1001,0.0056
101,3.367,haar,full_frame,0.1512,Happiness,---,---,AMBIGUOUS,---,0.0237,0.1641,0.7646,0.1317,0.1961,1.3921,0.1155,0.002198,IDLE,"33,62,130,171",-0.1033,0.0035
102,3.400,haar,full_frame,0.0819,Happiness,---,---,AMBIGUOUS,---,0.0440,0.0775,0.5245,0.0885,0.1845,0.2076,0.1165,0.001912,IDLE,"31,64,127,173",-0.1007,0.0011
103,3.433,haar,full_frame,0.2219,Happiness,---,---,AMBIGUOUS,---,0.0098,0.2768,0.9055,0.1394,0.1982,1.1554,0.1175,0.001619,IDLE,"30,65,127,174",-0.0831,0.0096
104,3.467,haar,full_frame,0.2198,Happiness,---,---,AMBIGUOUS,---,0.0061,0.3264,0.9299,0.0598,0.1769,0.2785,0.1176,0.001299,IDLE,"30,66,128,175",-0.0483,0.0169
105,3.500,haar,full_frame,0.2094,Happiness,---,---,AMBIGUOUS,---,0.0108,0.2227,0.8887,0.1894,0.2117,0.4734,0.1189,0.001165,IDLE,"29,67,126,176",-0.0917,0.0152
106,3.533,haar,full_frame,0.1713,Happiness,---,---,AMBIGUOUS,---,0.0032,0.1701,0.9060,0.1731,0.2074,0.1009,0.1199,0.000954,IDLE,"28,68,125,177",-0.0530,0.0416
107,3.567,haar,full_frame,0.1820,Happiness,---,---,AMBIGUOUS,---,0.0103,0.1347,0.9010,0.2529,0.2289,0.2986,0.1215,0.000987,IDLE,"28,69,126,178",-0.0638,0.0379
