window_idx,t_start,t_center,t_end,algorithm,bpm,bpm_smoothed,bpm_plausible,snr,prominence,motion_pct,n_face_frames,bpm_spread,n_eligible,session_start_utc
0,0.6,15.87,30.83,ICA,116.2,116.2,1,2.62,31.54,0.107,901,0.0,0,2026-05-02T13:24:48.337726+00:00
1,5.89,20.85,35.82,ICA,51.9,92.1,1,3.99,31.69,0.019,901,0.0,0,2026-05-02T13:24:48.337726+00:00
2,10.88,25.84,40.81,ICA,51.7,92.0,1,3.72,29.26,0.019,901,0.0,0,2026-05-02T13:24:48.337726+00:00
3,15.87,30.83,45.79,ICA,92.1,92.0,1,3.18,23.69,0.019,901,0.0,0,2026-05-02T13:24:48.337726+00:00
4,20.85,35.82,50.78,ICA,92.0,92.0,1,3.36,25.23,0.019,901,0.0,0,2026-05-02T13:24:48.337726+00:00
5,25.84,40.81,55.77,ICA,150.0,92.1,1,2.99,18.55,0.0,901,0.0,0,2026-05-02T13:24:48.337726+00:00
6,30.83,45.79,60.76,ICA,91.9,92.1,1,3.66,20.82,0.0,901,0.0,0,2026-05-02T13:24:48.337726+00:00
7,35.82,50.78,65.75,ICA,92.2,92.2,1,3.12,18.55,0.003,901,0.0,0,2026-05-02T13:24:48.337726+00:00
8,40.81,55.77,70.73,ICA,92.1,92.2,1,2.76,17.05,0.003,901,0.0,0,2026-05-02T13:24:48.337726+00:00
9,45.79,60.76,75.72,ICA,98.0,97.8,1,2.89,17.06,0.003,901,0.0,0,2026-05-02T13:24:48.337726+00:00
10,50.78,65.75,80.71,ICA,98.0,98.0,1,3.61,22.96,0.003,901,0.0,0,2026-05-02T13:24:48.337726+00:00
11,55.77,70.73,85.7,ICA,97.8,98.0,1,3.77,24.3,0.003,901,0.0,0,2026-05-02T13:24:48.337726+00:00
12,60.76,75.72,90.69,ICA,98.0,98.0,1,3.95,27.4,0.003,901,0.0,0,2026-05-02T13:24:48.337726+00:00
13,65.75,80.71,95.68,ICA,98.0,97.8,1,3.49,18.4,0.0,901,0.0,0,2026-05-02T13:24:48.337726+00:00
14,70.73,85.7,100.67,ICA,54.3,98.0,1,3.07,15.48,0.0,901,0.0,0,2026-05-02T13:24:48.337726+00:00
15,75.72,90.69,105.65,ICA,59.6,59.6,1,2.77,15.61,0.0,901,0.0,0,2026-05-02T13:24:48.337726+00:00
16,80.71,95.68,110.64,ICA,102.1,59.6,1,2.76,15.83,0.0,901,0.0,0,2026-05-02T13:24:48.337726+00:00
17,85.7,100.67,115.63,ICA,59.5,80.1,1,2.58,14.04,0.0,901,0.0,0,2026-05-02T13:24:48.337726+00:00
18,90.69,105.65,120.62,ICA,132.0,80.1,1,2.3,14.39,0.0,901,0.0,0,2026-05-02T13:24:48.337726+00:00
19,95.68,110.64,125.61,ICA,80.1,80.1,1,2.69,17.91,0.0,901,0.0,0,2026-05-02T13:24:48.337726+00:00
20,100.67,115.63,130.6,ICA,80.1,80.4,1,3.06,23.19,0.0,901,0.0,0,2026-05-02T13:24:48.337726+00:00
21,105.65,120.62,135.58,ICA,80.4,80.1,1,3.24,21.44,0.0,901,0.0,0,2026-05-02T13:24:48.337726+00:00
22,110.64,125.61,140.57,ICA,80.7,80.1,1,3.3,17.97,0.0,901,0.0,0,2026-05-02T13:24:48.337726+00:00
23,115.63,130.6,145.56,ICA,66.3,66.3,1,3.53,23.05,0.0,901,0.0,0,2026-05-02T13:24:48.337726+00:00
24,120.62,135.58,150.55,ICA,46.2,65.7,1,3.44,36.25,0.0,901,0.0,0,2026-05-02T13:24:48.337726+00:00
25,125.61,140.57,155.54,ICA,65.7,57.6,1,3.73,41.5,0.001,901,0.0,0,2026-05-02T13:24:48.337726+00:00
26,130.6,145.56,160.52,ICA,54.4,54.4,1,3.48,51.23,0.001,901,0.0,0,2026-05-02T13:24:48.337726+00:00
27,135.58,150.55,165.51,ICA,57.6,54.4,1,3.33,53.5,0.001,901,0.0,0,2026-05-02T13:24:48.337726+00:00
28,140.57,155.54,170.5,ICA,47.9,54.4,1,3.87,66.5,0.003,901,0.0,0,2026-05-02T13:24:48.337726+00:00
29,145.56,160.52,175.49,ICA,48.0,53.6,1,2.93,51.51,0.003,901,0.0,0,2026-05-02T13:24:48.337726+00:00
30,150.55,165.51,180.48,ICA,54.5,53.6,1,2.86,57.06,0.003,901,0.0,0,2026-05-02T13:24:48.337726+00:00
31,155.54,170.5,185.47,ICA,53.6,54.5,1,2.48,49.31,0.002,901,0.0,0,2026-05-02T13:24:48.337726+00:00
32,160.52,175.49,190.46,ICA,74.4,74.4,1,2.51,38.92,0.002,901,0.0,0,2026-05-02T13:24:48.337726+00:00
33,165.51,180.48,195.44,ICA,74.6,74.4,1,2.82,51.15,0.002,901,0.0,0,2026-05-02T13:24:48.337726+00:00
34,170.5,185.47,200.43,ICA,74.4,74.4,1,2.6,37.18,0.0,901,0.0,0,2026-05-02T13:24:48.337726+00:00
35,175.49,190.46,205.42,ICA,93.8,74.4,1,3.63,81.15,0.001,901,0.0,0,2026-05-02T13:24:48.337726+00:00
36,180.48,195.44,210.41,ICA,57.7,74.4,1,3.87,85.18,0.003,901,0.0,0,2026-05-02T13:24:48.337726+00:00
